row_id_1,row_id_2,similarity,label_1,label_2,title_clean_1,title_clean_2
train_002870,train_109072,0.9219,0,0,"Report: Palestinians, Israel Back Peace Plan","Report: Palestinians, Israel Back Peace Plan"
train_002870,train_002965,0.9609,0,0,"Report: Palestinians, Israel Back Peace Plan","Report: Palestinians, Israel Back Peace Plan"
train_044129,train_044133,0.9219,2,2,Oil Ends Below $50 on Nigerian Cease-Fire,Oil Ends Below $50 on Nigerian Ceasefire
train_044129,train_044516,0.9453,2,2,Oil Ends Below $50 on Nigerian Cease-Fire,Oil Ends Below $50 on Nigerian Cease-Fire (Reuters)
train_101320,train_101337,0.9766,1,1,Gunners go to Liverpool stung by more negative headlines,Gunners go to Liverpool stung by more negative headlines
train_098364,train_098365,0.9062,3,2,BearingPoint Leader Plans Shake-Up,BearingPoint Leader Plans Shake-Up
train_111797,train_112093,0.9922,0,0,"Khartoum, Darfur Rebels Split on Peace Chances (Reuters)","Khartoum, Darfur Rebels Split on Peace Chances (Reuters)"
train_092770,train_092785,0.9922,1,1,Phillies Keep Lidle Around for Two More Years,Phillies keep Lidle around for two more years
train_107366,train_107429,0.9531,1,1,Grizzlies name Fratello head coach,Grizzlies Name Fratello Head Coach
train_032807,train_032810,0.9531,0,0,Millions of Indonesians Vote in Landmark Election (Reuters),Millions of Indonesians Vote in Landmark Election
train_003452,train_005634,0.9219,2,2,2 Big Carriers at O'Hare to Cut Flights,2 Big Carriers at O'Hare to Cut Flights
train_084150,train_106914,0.9297,3,3,"Nintendo sells 500,000 DS handhelds in first week","Nintendo sells 500,000 DS Handhelds in First Week"
train_072079,train_072182,0.9141,3,3,Sun Delivers NetBeans 4.1 Access Release,Sun Delivers NetBeans 4.1 Access Release (InfoWorld)
train_002549,train_002550,0.9375,2,2,Mortgage Applications Jump in Aug 13 Week (Reuters),Mortgage Applications Jump in Aug 13 Week
train_005621,train_006780,0.9375,3,3,Helicopter Stunt Pilots to Snag Stardust for NASA (Reuters),Helicopter Stunt Pilots to Snag Stardust for NASA
train_046717,train_049259,0.9688,2,3,Judge Challenges EU Position on Microsoft,Judge Challenges EU Position on Microsoft
train_034252,train_034254,0.9453,2,2,U.S. Oil Holds Above $46 on Supply Fears (Reuters),U.S. Oil Holds Above $46 on Supply Fears
train_064242,train_076660,0.9453,0,0,"A Look at Lawsuits, Voting Problems (AP)","A Look at Lawsuits, Voting Problems (AP)"
train_016799,train_016995,0.9531,0,0,Florida Calls for Hurricane Evacuations,"As Frances Nears, Fla. Urges Evacuations"
train_021564,train_021816,0.9766,3,3,Smart Phone Market Growing More Crowded,Smart Phone Market Growing Rapidly
train_097997,train_098008,0.9688,1,1,"Reese, Meshiai share Champions Tour qualifying lead","Reese, Meshiai Lead Champions Tour Quals"
train_052793,train_055021,0.9766,3,3,Space Tourism Faces Safety Regulations (AP),Space Tourism Faces Safety Regulations (AP)
train_064282,train_065911,0.9219,3,3,"Sony to Open More Stores, Worrying Others (AP)","Sony to Add Stores, Worrying Retailers (AP)"
train_002303,train_002317,0.9375,2,2,Asian Shares Mixed as Oil Steady Near $47,Asian Shares Mixed as Oil Steady Near $47 (Reuters)
train_048410,train_048412,0.9297,3,3,PluggedIn: DVD Lagging TV in Recorders Race (Reuters),PluggedIn: DVD Lagging TV in Recorders Race
train_012217,train_012250,0.9062,2,0,PM Pledges Russia Will Meet Oil Goals,PM Pledges Russia Will Meet Oil Goals (AP)
train_012217,train_012288,0.9609,2,2,PM Pledges Russia Will Meet Oil Goals,Update 1: PM Pledges Russia Will Meet Oil Goals
train_056319,train_056321,0.9375,2,2,Gas Hits 4-Month High of $1.99/gallon (Reuters),Gas Hits 4-Month High of $1.99/gallon
train_010969,train_011055,0.9844,2,2,"Deutsche Bank, Weisel to Pay $100 Mln to End Probe (Update1)","Deutsche Bank, Weisel to Pay $100 Mln to End Probe (Update2)"
train_044133,train_044516,0.9375,2,2,Oil Ends Below $50 on Nigerian Ceasefire,Oil Ends Below $50 on Nigerian Cease-Fire (Reuters)
train_046658,train_047193,0.9531,0,0,Springsteen to Kick Off 'Vote for Change',Springsteen Kicks Off 'Vote for Change'
train_100034,train_100057,0.9141,2,2,Euro Near New High; Asian Stocks Gain (Reuters),Euro Near New High; Asian Stocks Gain
train_085567,train_085628,0.9688,3,0,Firefox browser takes on Microsoft,New browser takes on Microsoft
train_043911,train_043951,0.9453,0,0,44 N.Koreans Break Into Canada's Beijing Embassy,44 N.Koreans Break Into Canada's Beijing Embassy
train_019916,train_019919,0.9609,0,0,Sudan Talks in Nigeria Said Deadlocked (Reuters),Sudan Talks in Nigeria Said Deadlocked
train_019916,train_020013,0.9297,0,0,Sudan Talks in Nigeria Said Deadlocked (Reuters),Sudan Talks in Nigeria Said Deadlocked
train_069389,train_105463,0.9375,3,3,Mobile Operators Seek Higher Sound Quality (Reuters),PluggedIn: Mobile Operators Seek Higher Sound Quality (Reuters)
train_002864,train_109080,0.9297,2,3,Intel Says It's Recovered from Missteps,Intel Says It's 'Recovered' from Costly Missteps
train_113575,train_113577,0.9297,0,0,Blast at Market in Southern Philippines Kills 13 (Reuters),Blast at Market in Southern Philippines Kills 13
train_038541,train_038587,0.9609,1,1,Report: Dolphins win grievance against Williams,Report: Dolphins Win Grievance Against Williams
train_032786,train_032798,0.9453,3,3,Sen. McCain Seeks $1 Billion to Speed Digital TV Shift,Sen. McCain Seeks $1 Billion to Speed Digital TV Shift (Reuters)
train_043095,train_108684,0.9609,3,3,Breeding Captive Elephants Is Difficult (AP),Studies: Captive Elephant Breeding Hard (AP)
train_058799,train_058985,0.9453,3,3,IBM brings high-end storage functions to midrange,IBM brings high-end storage functions to midrange (InfoWorld)
train_060213,train_060245,0.9062,0,0,Explosions in Baghdad's Green Zone Kill 8 (AP),Explosions in Baghdad's Green Zone Kill 8
train_030954,train_033293,0.9609,3,3,Arrest made in Cisco source code theft,Update: Arrest made in Cisco source code theft
train_109151,train_110050,0.9297,2,3,HP Board Pondered Breaking Up the Company,HP Board Pondered Breaking Up the Company
train_115665,train_115922,0.9219,3,3,"Gaudi's Cathedral Gets Help from Dassault, IBM (Reuters)","Gaudi's Cathedral Gets Help from Dassault, IBM"
train_004700,train_005830,0.9844,2,2,Waiting For Google,Waiting For Google
train_074590,train_074602,0.9297,0,0,U.S. Official: Lebanese Govt. 'Made in Damascus' (Reuters),U.S. Official: Lebanese Govt. 'Made in Damascus'
train_052811,train_059131,0.9219,0,0,Bolivians Vote in Municipal Elections,Bolivians Vote in Municipal Elections (AP)
train_105605,train_105625,0.9453,3,3,Q A: OMG member talks up UML 2.0 (InfoWorld),Q A: OMG member talks up UML 2.0
train_027000,train_027043,0.9609,2,2,Hurricanes Hit Office Depot Profit,"Office Depot Warns, Blames Hurricanes"
train_026184,train_026304,0.9297,2,3,"Sendo, Microsoft settle smart phone lawsuit","Sendo, Microsoft settle smart phone lawsuit"
train_018171,train_018244,0.9375,0,0,China Criticizes Chen for Remark on Taiwan's Name (Reuters),China Criticizes Chen for Remark on Taiwan's Name
train_020541,train_020600,0.9453,3,3,Samsung to Launch Phone with Mini Hard Drive (Reuters),Samsung to Launch Phone with Mini Hard Drive
train_069296,train_069652,0.9609,1,1,Boston Hopes to Make Believers Out of Skeptics,Boston Hopes to Make Believers Out of Skeptics
train_002558,train_002727,0.9844,0,0,Arafat Admits Palestinians Made Mistakes,Arafat Admits Palestinians Made Mistakes
train_062962,train_063052,0.9531,0,0,Sudan Needs Help to End Darfur Crisis - Egypt,Sudan Needs Help to End Darfur Crisis - Egypt (Reuters)
train_065772,train_065862,0.9609,3,3,Cisco brings IT skills to UK prisoners,Cisco brings IT skills to UK prisoners
train_058813,train_059682,0.9766,2,2,Sola Agrees to Be Sold for $815 Mln,Sola Says Agrees to Be Sold for $815 Mln
train_046279,train_046475,0.9297,0,0,Suicide Bomber Kills at Least 18 in Pakistani Mosque,Suicide Bomber Kills at Least 21 in Pakistani Mosque
train_041320,train_041481,0.9219,2,2,Airline Stocks Sink on Gloomy Outlook,Update 1: Airline Stocks Sink on Gloomy Outlook
train_104311,train_104323,0.9453,0,0,Aznar Denies Madrid Bombs Were Linked to Iraq War (Reuters),Aznar Denies Madrid Bombs Were Linked to Iraq War
train_031528,train_031801,0.9766,1,1,NL Wrap: Jones Leads Braves Closer to Division Title,NL Wrap: Jones Leads Braves Closer to Division Title
train_050079,train_050420,0.9766,0,0,"Chiefs Beat Ravens 27-24, End Winlessness",Chiefs Beat Ravens 27-24 for First Win
train_043886,train_043890,0.9375,3,3,Apple Plans EU Expansion of iTunes Next Month (Reuters),Apple Plans EU Expansion of iTunes Next Month
train_049348,train_049420,0.9375,2,2,Treasuries Dip But Selling Momentum Slows,Treasuries Dip But Selling Momentum Slows (Reuters)
train_033996,train_034468,0.9141,3,3,Microsoft Board Cut in Size as a Director Retires,Microsoft Board Cut in Size as a Director Retires (Reuters)
train_101761,train_101809,0.9297,2,2,"Oil Edges Higher, Watches Weather","Oil Edges Higher, Watches Weather (Reuters)"
train_067624,train_067629,0.9453,3,3,Photo gallery: Microsoft revs car Windows,Photo 4: Microsoft revs car Windows
train_002413,train_002471,0.9688,2,2,Update 1: Philippine Shares Close Lower,Update 2: Philippine Shares Close Lower
train_011325,train_011345,0.9766,1,1,Pavin Hits 62 to Charge Into Three-Shot Buick Lead,Pavin Hits 62 to Charge Into Three-Shot Buick Lead
train_022720,train_022798,0.9141,0,0,"Israel Kills 4, Including 9-Year-Old, in Gaza","Israel Kills 5, Including 9-Year-Old, in Gaza"
train_097364,train_097431,0.9453,0,0,Report: Peru Would Refuse to Free Berenson (AP),Report: Peru Would Refuse to Free Berenson
train_066316,train_066337,0.9922,2,2,XM Satellite in $650 Mln Baseball Deal,XM Satellite in $650 Million Baseball Deal
train_001867,train_002078,0.9688,0,0,Britain Charges 8 Terrorist Suspects,Britain Charges Eight Terrorist Suspects
train_082433,train_082446,0.9141,2,2,Treasuries Plunge on Huge Payrolls Rise,Treasuries Plunge on Huge Payrolls Rise (Reuters)
train_110508,train_110747,0.9141,0,0,Iraqis May Extend Election Amid Violence,Iraqis may extend election amid violence
train_006848,train_006874,0.9453,2,2,Tokyo Stocks Open Higher,Tokyo Stocks Open Higher
train_102798,train_103029,0.9688,1,1,Wiltord helps leaders Lyon beat Auxerre,UPDATE 1-Wiltord helps leaders Lyon beat Auxerre
train_053333,train_053870,0.9766,3,3,Word mangled by unpatched security hole,Word mangled by unpatched security hole
train_050288,train_050424,0.9453,3,3,"Nokia, Intel Join Forces on Symbian Phones","Nokia, Intel Join Forces to Develop Symbian Phones"
train_114961,train_114965,0.9453,0,0,Sexual Violence Hit 2 in 3 Liberians in War-Report (Reuters),Sexual Violence Hit 2 in 3 Liberians in War-Report
train_047852,train_047931,0.9375,0,0,"Dodgers Beat Giants 7-3, Win NL West","Dodgers Stun Giants 7-3, Capture NL West"
train_083033,train_083159,0.9922,0,0,S.Korea Asks Bush to Focus on N.Korea Nuclear Crisis,Seoul Asks Bush to Focus on N.Korea Nuclear Crisis
train_066972,train_066976,0.9688,0,0,"Armed Men Attack Baghdad Bus, at Least 4 Dead (Reuters)","Armed Men Attack Baghdad Bus, at Least 4 Dead"
train_004739,train_004740,0.9766,2,2,Oil Near $49 as Iraq Violence Escalates,Oil Near $49 as Iraq Violence Escalates
train_076110,train_076134,0.9688,1,1,Henman Battles Into Basel Quarterfinals,Henman Battles Into Basel Quarter-Finals
train_067187,train_067424,0.9844,3,3,OQO pocket-size Windows XP PC clever but could be better (USATODAY.com),Edward C. Baig: Personal Tech - OQO pocket-size Windows XP PC clever but could be better (USATODAY.com)
train_116850,train_116851,0.9453,2,2,Sara Lee Raising Retail Coffee Prices (Reuters),Sara Lee Raising Retail Coffee Prices
train_013092,train_013156,0.9531,2,2,Investors Take a Holiday,Investors Take a Holiday (Reuters)
train_104641,train_105326,0.9453,3,3,Hollywood Steps Into Video Format Fight (AP),Hollywood Steps Into DVD Format Fight (AP)
train_109122,train_109566,0.9297,0,0,Egypt Sees Move Towards Israel-Palestinian Peace,Egypt Sees Move Towards Israel-Palestinian Peace (Reuters)
train_012028,train_012154,0.9531,0,0,Greenspan Warns on Baby Boomer Benefits,Greenspan Cautions on Baby Boomer Benefits
train_001177,train_001185,0.9062,0,1,Thorpedo Sinks Phelps' Shot at Spitz Mark,Thorpedo Sinks Phelps' Shot at Spitz Mark (AP)
train_110437,train_110441,0.9453,1,1,New Orleans' Gleason no Saint; fined by NFL,New Orleans' Gleason No Saint; Fined by NFL
train_082393,train_084445,0.9453,3,3,Nokia sues over patent and registered designs,Nokia sues over patent and registered designs
train_091928,train_091955,0.9375,2,2,Pension Agency's Deficit Hits Record,Pension Agency's Deficit Hits Record
train_117651,train_117654,0.9375,0,0,Gunmen Kill Senior Iraqi Ministry Official (Reuters),Gunmen Kill Senior Iraqi Ministry Official
train_049021,train_049152,0.9922,3,3,Bye-bye blueprint: 3D modeling catches on,"Bye-bye, blueprint: 3D modeling catches on"
train_033846,train_035816,0.9844,2,3,Sun sets sights on Linux vendors,Sun Sets Sights on Low-End Market
train_033846,train_035699,0.9297,2,3,Sun sets sights on Linux vendors,Sun Sets Sights on Low-End Market (AP)
train_004593,train_004594,0.9453,3,3,'Madden' Week No. 1 Game Sales Top 1.3 Million (Reuters),'Madden' Week No. 1 Game Sales Top 1.3 Million
train_005261,train_005325,0.9609,0,0,Sadr Militia Still Controls Iraq Shrine - Witness,Sadr Militia Still Controls Iraq Shrine -- Witnesses
train_005261,train_005289,0.9531,0,0,Sadr Militia Still Controls Iraq Shrine - Witness,Sadr Militia Still Controls Iraq Shrine -- Witness
train_067233,train_067241,0.9219,0,0,Husband of Aid Worker Seized in Iraq Pleads for Release (Reuters),Husband of Aid Worker Seized in Iraq Pleads for Release
train_098667,train_098706,0.9453,2,2,Krispy Kreme Posts Net Loss After Charges,Krispy Kreme Posts Net Loss After Charges
train_031339,train_032747,0.9062,3,3,Apple Ships Security Patch For iChat,Apple ships security patch for iChat
train_061856,train_061913,0.9141,0,0,Army Probes if Iraq Unit Refused Mission,"Unit Refused Duty in Iraq, Military Says"
train_061856,train_061977,0.9062,0,0,Army Probes if Iraq Unit Refused Mission,"Unit Refused Iraq Mission, Military Says"
train_014277,train_014303,0.9766,2,2,INTERVIEW: Gwalia Has Been Approached By Gold Ops Buyers,INTERVIEW: Gwalia Approached By Gold Ops Buyers -2-
train_091516,train_091982,0.9688,2,2,FLYi Soars After Amending Airbus Deal,FLYi Shares Up After Amending Airbus Deal
train_091516,train_091969,0.9531,2,2,FLYi Soars After Amending Airbus Deal,FLYi Shares Advance After Amending Deal
train_005771,train_005834,0.9766,0,0,Judging Error Gave Hamm Gold,Judging Error Led to Paul Hamm's Gold
train_036361,train_036376,0.9141,3,3,Researchers Study Real Viruses to Thwart Virtual (Reuters),Researchers Study Real Viruses to Thwart Virtual
train_061903,train_061960,0.9297,0,0,Bush Considering Tougher Syria Sanctions-Officials,Bush Considering Tougher Syria Sanctions-Officials (Reuters)
train_025092,train_025126,0.9531,0,0,Iran Says It Won't Halt Nuclear Technology Drive,Iran Says It Won't Halt Nuclear Technology Drive (Reuters)
train_071738,train_071746,0.9219,2,2,Citigroup Gets Record Fine for Fund Sales,Citigroup Gets Record Fine for Fund Sales (Reuters)
train_058197,train_058201,0.9219,2,2,Johnson Johnson Profit Up on Drug Sales (Reuters),Johnson Johnson Profit Up on Drug Sales
train_049639,train_050290,0.9219,0,3,US volcano belches more steam,US volcano spews out more steam
train_102331,train_103587,0.9766,3,3,U.S. Opposed Passport Privacy Protections (AP),U.S. Opposes Passport Privacy Protections (AP)
train_058573,train_058631,0.9375,1,1,Barry Bonds Undergoes Knee Surgery,Barry Bonds Undergoes Knee Surgery
train_077229,train_077262,0.9062,3,3,Web Site Helps Undecided Voters Choose,Web Site Helps Undecided Voters Choose (PC World)
train_054458,train_054886,0.9375,2,2,J J: Arthritis Drug Has Blood Cancer Risk (Reuters),J J: Arthritis Drug May Hike Cancer Risk
train_044535,train_044536,0.9922,0,0,Alaska Judge Orders Ballots Reprinted,Alaska Judge Orders Ballots Reprinted
train_026786,train_026814,0.9531,0,0,Blast in Baghdad Rebel District Kills at Least 47 (Reuters),Blast in Baghdad Rebel District Kills at Least 47
train_065598,train_066010,0.9375,0,0,Hungary PM Set for Victory Over Citizenship Vote,Hungary PM Set for Victory Over Citizenship Vote
train_003920,train_003964,0.9844,2,2,Retailer's Share Up on Wal-Mart Interest (AP),Retailer's Shares Up on Wal-Mart Interest (AP)
train_073485,train_073913,0.9141,0,0,Russia's Putin Lauds Ukraine PM in TV Appearance (Reuters),Russia's Putin Lauds Ukraine PM in TV Appearance
train_073485,train_073490,0.9688,0,0,Russia's Putin Lauds Ukraine PM in TV Appearance (Reuters),Russia's Putin Lauds Ukraine PM in TV Appearance
train_089398,train_089457,0.9297,3,3,Judge to Rule on Georgia Evolution Disclaimers,Judge to Rule on Georgia Evolution Disclaimers (Reuters)
train_025195,train_027319,0.9609,0,0,"Syria, Lebanon Reject Foreign Criticism of Ties","Syria, Lebanon Reject Foreign Criticism of Ties (Reuters)"
train_088866,train_089040,0.9375,3,3,AOL Aims to Lead Internet Travel Purchases,AOL Aims to Lead Internet Travel Purchases (AP)
train_028275,train_028471,0.9844,1,1,Cardiff to host FA Cup semi-finals,Cardiff to host FA Cup semi-finals
train_093773,train_093793,0.9375,0,0,Brazil Official Eyes Secret Military Files (AP),Brazil Official Eyes Secret Military Files
train_067918,train_068179,0.9609,3,3,Microsoft: 1Q Earnings Up 11 Percent (AP),Microsoft: 1Q Earnings Up 11 Percent (AP)
train_019467,train_019521,0.9375,2,2,"Asian Stocks Rise, Report Lifts Nikkei","Asian Stocks Rise, Report Lifts Nikkei (Reuters)"
train_003230,train_003446,1.0,1,1,Earl Snyder Called Up to Help Red Sox (AP),Snyder Called Up to Help Red Sox (AP)
train_038289,train_038341,0.9297,2,2,Durable Goods Fall as Aircraft Orders Off (Reuters),Durable Goods Fall as Aircraft Orders Off (Reuters)
train_030592,train_032652,0.9219,3,3,Open Source Software Goes to Work,Open Source Software Goes to Work
train_077583,train_077995,0.9062,2,2,"Oil: Oil rebounds on supply woes, election jitters","Oil Up on Supply Woes, Election Jitters"
train_093536,train_093544,0.9375,2,2,European Shares Shrug Off Record Euro,European Shares Shrug Off Record Euro (Reuters)
train_088429,train_088457,0.9141,3,3,Fossil Indicates Brown Bears Went South (AP),Fossil Indicates Brown Bears Went South
train_062992,train_063274,0.9609,0,0,Car Bomb Kills at Least Seven in Baghdad,Car Bomb Kills at Least Six in Baghdad
train_094828,train_095158,0.9844,3,3,Microsoft Warns Asian Governments of Linux Lawsuits,Microsoft Warns Asian Govts of Linux Lawsuits
train_094828,train_095131,0.9297,3,3,Microsoft Warns Asian Governments of Linux Lawsuits,Microsoft Warns Asian Governments of Linux Lawsuits (Reuters)
train_055080,train_055721,0.9688,3,3,Review: GPS in Cell Phones Performs Well (AP),Review: GPS in Cell Phones Performs Well (AP)
train_017799,train_017859,0.9219,1,1,Czech Republic Crushes Germany in World Cup Hockey,Czech Republic Crushes Germany in World Cup Hockey
train_101395,train_101576,0.9297,2,2,Oil prices rise in Europe,Oil Prices Rise in Europe
train_087849,train_088323,0.9609,0,0,Dignitaries Expected at Arafat's Funeral (AP),Dignitaries Expected at Arafat's Funeral (AP)
train_112295,train_112435,0.9688,3,3,In Brief: Cisco acquires startup BCN Systems,In Brief: Cisco acquires startup BCN Systems (InfoWorld)
train_105289,train_105393,0.9297,0,0,Brazil's Economy Expands 6.1 Percent in 3Q,Brazil's Economy Expands in 3Q on Exports
train_097246,train_097271,0.9531,0,0,Ukraine's Kuchma Calls for Calm on Eve of Poll,Ukraine's Kuchma Calls for Calm on Eve of Poll (Reuters)
train_070849,train_070866,0.9688,2,0,Nikkei Dips 2 Percent on Exporters,Nikkei Dips 2 Percent on Exporters (Reuters)
train_089007,train_089021,0.9453,2,2,New York's Spitzer Says May Sue Insurer,New York's Spitzer Says May Sue Insurer
train_082515,train_082553,0.9766,2,2,United Says It Needs $2 Bln More in Cost Cuts,United Needs $2 Bln More in Cost Cuts
train_105012,train_106009,0.9609,2,2,"Walgreen Profit Rises 30.5 Pct, Shares Up",Walgreen Qtrly Profit Rises 30.5 Pct
train_114683,train_114710,0.9531,1,1,Neeskens sacked as NEC Nijmegen coach,Neeskens sacked as NEC coach
train_045362,train_045515,0.9922,3,2,IBM to pay $320M to partially settle pension case,IBM to pay $320M to partially settle pension case
train_088107,train_088211,1.0,3,3,Gap's garment gadget blasts your favorite tunes,Gap's gadget garment blasts your favorite tunes
train_076125,train_076180,0.9531,2,2,Shrek Maker Dreamworks Charms Wall Street,DreamWorks Animation Charms Wall Street
train_061646,train_062224,0.9531,0,2,US Airways Gets OK to Cut Workers' Pay,US Airways gets OK to cut workers' pay
train_096482,train_096489,0.9375,0,0,Protests Target Bush at Summit in Chile (AP),Protests Target Bush at Summit in Chile
train_097803,train_098306,0.9766,3,3,Microsoft Targets Older People for Web Via TV,Microsoft Targets Older People for Web Via TV
train_071340,train_071923,0.9766,2,2,"Mittal to Buy ISG, Create World's Largest Steelmaker (Update1)","Mittal to Buy ISG, Create World's Largest Steelmaker (Update3)"
train_059076,train_059134,0.9219,0,0,Israeli Missile Kills Hamas Militant in Gaza-Medics,Israeli Missile Kills Hamas Militant in Gaza-Medics (Reuters)
train_015906,train_018418,0.9766,3,3,HDTV 'Starter' Kit for PC Comes with Some Kinks,PluggedIn: HDTV 'Starter' Kit for PC Comes with Some Kinks
train_006520,train_006540,0.9609,3,3,EA Video Game 'Madden' Tops 1.3 Million First Week,EA Video Game 'Madden' Tops 1.3 Million First Week
train_032801,train_032817,0.9141,0,0,Colombia Says Marxist Rebels Killed Venezuelans,Colombia Says Marxist Rebels Killed Venezuelans
train_062252,train_062253,0.9297,2,2,Santomero Says Rates 'Still Stimulative' (Reuters),Santomero Says Rates 'Still Stimulative'
train_071294,train_071511,0.9766,3,3,Mind those IMs--your cubicle's walls have ears,Mind those IMs--your cubicle's walls have eyes
train_076367,train_076417,0.9531,1,1,"Cubs Cut Loose Alou, Grudzielanek","Cubs cut loose Alou, Grudzielanek"
train_067856,train_067857,0.9141,2,2,Coke Profit Hurt by Sluggish Global Sales (Reuters),Coke Profit Hurt by Sluggish Global Sales
train_001216,train_001218,0.9453,2,0,Nikkei Rises by Midday,Nikkei Rises by Midday (Reuters)
train_069923,train_070050,0.9922,3,3,Man Ordered to Disable Spyware Programs (AP),'Spam King' Ordered to Disable Spyware (AP)
train_034481,train_034616,0.9609,2,2,Oil Holds Above $46 Supply Worries Linger,Oil Holds Above $46 Supply Worries Linger
train_001267,train_003267,0.9688,3,3,Study: Global Warming Could Change Calif. (AP),Study: Global Warming Could Affect Calif. (AP)
train_044970,train_045023,0.9453,0,0,Gurkha Soldiers Win Right to British Citizenship,Gurkha Soldiers Win Right to British Citizenship (Reuters)
train_094829,train_094855,0.9688,2,2,Reuters Up on Report Instinet Up for Sale,Reuters Up on Report Instinet Up for Sale (Reuters)
train_046203,train_046313,0.9062,3,2,Microsoft Tells Judge of Harm in Changing Windows,Microsoft Fears Changing Windows
train_040694,train_040726,0.9531,2,2,Nikkei Extends Losing Streak,Nikkei Extends Losing Streak
train_028634,train_028651,0.9531,0,3,Human genome hits halfway mark,Human genome hits halfway mark
train_067629,train_067973,0.9609,3,3,Photo 4: Microsoft revs car Windows,Photo 6: Microsoft revs car Windows
train_006723,train_006790,0.9609,0,0,Munch's Iconic 'Scream' Stolen in Norway,Thieves Grab 'The Scream' From Museum
train_107839,train_108073,0.9297,0,0,China Landslide Leaves 65 Villagers Missing - Xinhua,China Landslide Leaves 65 Villagers Missing - Xinhua
train_023341,train_023428,0.9688,2,0,Japan Lowers April-June Economic Data (AP),Japan Revises April-June Economic Data (AP)
train_000090,train_000554,0.9062,3,3,"Science, Politics Collide in Election Year (AP)",Science and President Bush Collide in Election Year
train_001938,train_001977,0.9062,0,0,Thrilling Relay Win Gets Phelps Third Gold,Thrilling Relay Win Gets Phelps Third Gold
train_068583,train_068643,0.9922,2,2,UK economy slows in third quarter,economy slows in third quarter
train_080840,train_080893,0.9531,2,2,Ailing smokers ask Florida justices to restore $145 billion award,Ailing smokers ask Florida justices to restore $145-billion class ...
train_038547,train_038548,0.9375,2,2,Fannie Mae Slides on Accounting Issues (Reuters),Fannie Mae Slides on Accounting Issues
train_075696,train_075851,0.9688,2,2,Dow Chemical Third-Quarter Profit Surges,Dow Chemical Profit Surges 86 Percent
train_075696,train_075743,0.9922,2,2,Dow Chemical Third-Quarter Profit Surges,Dow Chemical Third-Quarter Profit Surges
train_032959,train_032977,0.9219,3,3,Eight Georgians Abducted In Georgian Breakaway Region: Police,Eight Georgians abducted in Georgian breakaway region: police
train_070815,train_071478,0.9141,3,3,Brazil launches first rocket since accident,Brazil Launches First Test Rocket Since Accident (Reuters)
train_084236,train_084524,0.9375,2,2,Gas Prices Drop As Crude Oil Supply Rises,Gas Prices Drop As Crude Oil Supply Rises
train_062365,train_062424,0.9375,0,0,Thousands Queue for Dwindling Flu Shots,Thousands Line Up for Dwindling Flu Shots
